Equipo,FutFantasy,SofaScore
Cádiz,alejo,ivan alejo
Cádiz,san emeterio,fede san emeterio
Cádiz,escalante,gonzalo escalante
Cádiz,luis hernandez,luis hernandez
Cádiz,javi hernandez,javier hernandez
Cádiz,machis,darwin machis
Deportivo Alavés,kike garcia,kike garcia
Deportivo Alavés,sylla,mamadou sylla
Deportivo Alavés,javi lopez,javi lopez
Deportivo Alavés,guridi,jon guridi
Deportivo Alavés,miguel,miguel de la fuente
Deportivo Alavés,rebbach,abderrahman rebbach
Deportivo Alavés,blanco,antonio blanco
Deportivo Alavés,gorosabel,andoni gorosabel
Deportivo Alavés,guevara,ander guevara
Deportivo Alavés,rioja,luis rioja
Deportivo Alavés,abqar,abdelkabir abqar
Deportivo Alavés,sedlar,aleksandar sedlar
Deportivo Alavés,sivera,antonio sivera
Deportivo Alavés,rafa marin,rafa marin
Deportivo Alavés,r. duarte,ruben duarte
Deportivo Alavés,protesoni,carlos benavidez
Atlético Madrid,koke,koke
Atlético Madrid,barrios,pablo barrios
Atlético Madrid,memphis,memphis depay
Atlético Madrid,saul,saul niguez
Atlético Madrid,correa,angel correa
Atlético Madrid,morata,alvaro morata
Atlético Madrid,lemar,thomas lemar
Atlético Madrid,soyuncu,caglar soyuncu
Atlético Madrid,savic,stefan savic
Atlético Madrid,griezmann,antoine griezmann
Atlético Madrid,azpilicueta,cesar azpilicueta
Atlético Madrid,oblak,jan oblak
Atlético Madrid,hermoso,mario hermoso
Atlético Madrid,de paul,rodrigo de paul
Atlético Madrid,carrasco,yannick carrasco
Atlético Madrid,m. llorente,marcos llorente
Granada,melendo,oscar melendo
Granada,petrovic,njegos petrovic
Granada,puertas,antonio puertas
Granada,ricard,ricard sanchez
Granada,villar,gonzalo villar
Granada,bryan,bryan zaragoza
Granada,sergio ruiz,sergio ruiz alonso
Granada,gumbau,gerard gumbau
Granada,callejon,jose callejon
Granada,uzuni,myrto uzuni
Granada,vallejo,jesus vallejo
Granada,miguel rubio,miguel rubio
Granada,neva,carlos neva
Granada,ferreira,andre ferreira
Granada,i. miquel,ignasi miquel
Granada,omorodion,samu aghehowa
Villarreal,albiol,raul albiol
Villarreal,gabbia,matteo gabbia
