Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
Martim Neto,10.0,Elche,Mediocampista,117
Martin Krug,1.0,Levante,Defensa,0
Marín,7.0,Real Sociedad,Mediocampista,51
Mascarell,10.0,Mallorca,Mediocampista,88
Mateo Joseph D,10.0,Mallorca,Delantero,103
Matías Moreno Uuuib,11.0,Levante,Defensa,90
Maupay DE,7.0,Sevilla,Delantero,18
Mauro,1.0,Osasuna,Mediocampista,0
Mañas,3.0,Alavés,Delantero,9
Mbappé,52.0,Real Madrid,Delantero,279
Mendy,9.0,Sevilla,Mediocampista,73
Meso,0.3,Real Madrid,Mediocampista,0
Mestanza,0.3,Getafe,Mediocampista,0
Mestre,1.0,Real Madrid,Portero,0
Miguel Rubio,4.0,Espanyol,Defensa,25
Miguel Sierra DE,3.0,Sevilla,Delantero,9
Mikautadze,19.0,Villarreal,Delantero,141
Mikel,0.3,Osasuna,Defensa,0
Moi Gómez,8.0,Osasuna,Mediocampista,76
Moldovan,1.0,Real Oviedo,Portero,0
Molina,9.0,Atlético,Defensa,78
Moncayola,10.0,Osasuna,Mediocampista,120
Montero,1.0,Alavés,Portero,0
Montes,6.0,Getafe,Defensa,5
Morcillo,2.0,Alavés,Delantero,1
Morey,5.0,Mallorca,Defensa,30
Morlanes,8.0,Mallorca,Mediocampista,70
Mouriño,13.0,Villarreal,Defensa,108
Muriqi,21.0,Mallorca,Delantero,177
Mykyta,1.0,Getafe,Delantero,0
N. Mendy,14.0,Rayo,Defensa,94
Nacho Perez,3.0,Levante,Defensa,3
Nacho Vidal,10.0,Real Oviedo,Defensa,71
Natan,14.0,Betis,Defensa,133
Navarro,1.0,Valencia,Defensa,0
Navarro,8.0,Athletic,Mediocampista,96
Nelson Deossa,6.0,Betis,Mediocampista,46
Ngonge,8.0,Espanyol,Delantero,23
Nianzou,6.0,Sevilla,Defensa,27
Nico Gonzalez,12.0,Atlético,Mediocampista,105
Nico Serrano D,5.0,Athletic,Delantero,36
Nico Williams D,19.0,Athletic,Delantero,121
Nil,1.0,Mallorca,Portero,0
Nordin Al-Lal D,0.2,Elche,Delantero,0
Nteka,3.0,Rayo,Delantero,14
Nyland,6.0,Sevilla,Portero,16
Nyom,3.0,Getafe,Defensa,8
Núñez,9.0,Valencia,Defensa,28
Mingueza,10.0,Celta,Defensa,101
Rey,8.0,Levante,Mediocampista,50
O. Sancet,9.0,Athletic,Mediocampista,69
Obed Vargas,5.0,Atlético,Mediocampista,10
Oblak,23.0,Atlético,Portero,178
Ochieng,0.35,Real Sociedad,Mediocampista,0
Odriozola,6.0,Real Sociedad,Defensa,22
Olaizola,1.0,Mallorca,Defensa,0
Olasagasti,7.0,Levante,Mediocampista,62
Oluwaseyi D,6.0,Villarreal,Delantero,60
Omar Falah,3.0,Real Oviedo,Defensa,2
Orejuela,0.25,Mallorca,Defensa,0
Oskarsson,5.0,Real Sociedad,Delantero,39
Oso,8.0,Sevilla,Defensa,49
Osorio,1.4,Elche,Delantero,0
Otorbi,1.0,Valencia,Delantero,0
ounahi,18.0,Girona,Mediocampista,110
Oyarzabal,24.0,Real Sociedad,Delantero,176
P.Campos,8.0,Levante,Portero,14
P. Martínez,10.0,Levante,Mediocampista,84
P. Meixus,0.2,Celta,Defensa,0
Pablo Durán D,9.0,Celta,Delantero,77
Pablo García,5.0,Betis,Delantero,31
Pablo Torre,7.0,Mallorca,Mediocampista,73
Pacha,8.0,Rayo,Defensa,70
Pacheco,10.0,Alavés,Defensa,71
Paco Cortes DE,5.0,Levante,Delantero,27
Padilla,1.0,Athletic,Portero,-3
Palacios,3.0,Real Madrid,Mediocampista,4
Pampin,5.0,Levante,Mediocampista,19
Panach,1.0,Valencia,Defensa,0
Papa,1.0,Girona,Mediocampista,0
Paredes,12.0,Athletic,Defensa,83
Parejo,8.0,Villarreal,Mediocampista,68
Pathé . Ciss,10.0,Rayo,Mediocampista,90
Pau Cubarsí,14.0,Barcelona,Defensa,121
Pau López,10.0,Betis,Portero,56
Pau Navarro,10.0,Villarreal,Defensa,61
Pedri,26.0,Barcelona,Mediocampista,147
Pedro Díaz,9.0,Rayo,Mediocampista,63
Pedroarena,0.2,Osasuna,Mediocampista,0
Pedrosa,6.0,Elche,Defensa,44
Pepe,19.0,Villarreal,Delantero,166
Pepelu,11.0,Valencia,Mediocampista,102
Peque,7.0,Sevilla,Delantero,63
Pere Milla,10.0,Espanyol,Delantero,113
Pickel,5.0,Espanyol,Mediocampista,38
Pol Arnau,1.0,Girona,Defensa,0
Pol Fortuny,0.3,Real Madrid,Mediocampista,0
Pol Lozano,9.0,Espanyol,Mediocampista,77
Portu,5.0,Girona,Delantero,16
Prados,4.0,Athletic,Mediocampista,6
Protesoni,4.0,Alavés,Mediocampista,20
Puado,8.0,Espanyol,Mediocampista,42
Purié,0.4,Atlético,Defensa,0
R. Araujo,7.0,Barcelona,Defensa,55
R. Arroyo,0.3,Osasuna,Delantero,0
