Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Mendy,N. Mendy,20388,2025/26,32,Rayo,Defensa,12.0,21,SN,80%,Sano,19,2,0,0,7,2,0,93,4.9,0,-1,0
Mendy,F. Mendy,20389,2025/26,32,Real Madrid,Defensa,4.0,30,FR,50%,Sano,3,0,0,0,0,0,-1,8,2.7,0,2,0
Mendy,Mendy,20387,2025/26,32,Sevilla,Mediocampista,9.0,26,FR,30%,Sano,25,1,0,0,6,0,1,84,3.4,0,2,4
Miguel Rubio,Miguel Rubio,20385,2025/26,32,Espanyol,Defensa,4.0,28,ES,10%,Sano,12,1,0,0,0,0,-1,29,2.4,1,0,0
Mikautadze,Mikautadze,20392,2025/26,32,Villarreal,Delantero,18.0,25,GE,70%,Sano,27,9,5,0,1,0,1,163,6,2,3,2
Militão,E. Militao,20389,2025/26,32,Real Madrid,Defensa,15.0,28,BR,0%,Lesionado/Duda,16,2,1,0,2,0,1.4,103,6.4,4,4,9
Mingueza,O. Mingueza,20392,2025/26,32,Celta,Defensa,9.0,26,ES,70%,Sano,28,1,4,0,4,0,1,108,3.9,1,4,2
Moi Gómez,Moi Gómez,20387,2025/26,32,Osasuna,Mediocampista,8.0,31,ES,20%,Sano,21,0,1,0,3,0,-1,76,3.6,0,0,0
Mojica,J. Mojica,20384,2025/26,32,Mallorca,Defensa,9.0,33,CO,70%,Sano,31,0,3,0,5,0,1.5,109,3.5,4,7,2
Moldovan,Moldovan,20390,2025/26,32,Real Oviedo,Portero,1.0,28,RO,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Moleiro,A. Moleiro,20392,2025/26,32,Villarreal,Mediocampista,18.0,22,ES,70%,Sano,31,9,4,0,4,0,1.2,185,6,0,1,5
Molina,Molina,20383,2025/26,32,Atlético,Defensa,9.0,28,AR,70%,Sano,23,2,1,0,4,0,1,90,3.9,1,0,1
Moncayola,Moncayola,20387,2025/26,32,Osasuna,Mediocampista,10.0,27,ES,70%,Sano,30,0,4,0,8,0,1.2,138,4.6,6,3,4
Morales,A. J. Morales,20385,2025/26,32,Levante,Delantero,5.0,38,ES,0%,Sano,19,1,1,0,1,0,-1,50,2.6,0,0,0
Moreno,Matías Moreno,20385,2025/26,32,Levante,Defensa,13.0,22,AR,80%,Sano,22,0,0,0,6,0,1.6,111,5,11,11,-1
Morey,Morey,20384,2025/26,32,Mallorca,Defensa,5.0,26,ES,20%,Sano,16,1,0,0,2,0,-1,30,1.9,0,0,0
Moriba,Ilaix Moriba,20392,2025/26,32,Celta,Mediocampista,9.0,23,GN,50%,Sano,31,1,2,0,5,0,1.7,105,3.4,3,2,13
Morlanes,Morlanes,20384,2025/26,32,Mallorca,Mediocampista,9.0,27,ES,70%,Sano,26,2,0,0,4,1,1.5,94,3.6,4,7,11
Mouriño,Mouriño,20392,2025/26,32,Villarreal,Defensa,11.0,24,UY,50%,Lesionado/Duda,25,1,2,0,10,1,1.7,118,4.7,2,2,2
Mumin,A. Mumin,20388,2025/26,32,Rayo,Defensa,2.0,27,GH,10%,Sano,1,0,0,0,0,0,1,1,1,1,0,0
Muriqi,Muriqi,20384,2025/26,32,Mallorca,Delantero,20.0,32,XK,95%,Sano,31,21,1,0,3,1,2.1,200,6.5,2,15,8
Musso,J. Musso,20383,2025/26,32,Atlético,Portero,8.0,31,AR,1%,Sano,5,0,0,0,2,0,1.2,32,6.4,0,3,6
N. Williams,Nico Williams,20383,2025/26,32,Athletic,Delantero,18.0,23,ES,70%,Sano,22,4,2,0,1,0,1.5,135,6.1,6,4,4
Nacho Pérez,Nacho Perez,20385,2025/26,32,Levante,Defensa,3.0,17,ES,0%,Sano,2,0,0,0,0,0,-1,3,1.5,0,0,0
Nacho Vidal,Nacho Vidal,20390,2025/26,32,Real Oviedo,Defensa,9.0,31,ES,50%,Sano,23,0,0,0,4,0,1.5,88,3.8,1,8,8
Natan,Natan,20389,2025/26,32,Betis,Defensa,12.0,25,BR,80%,Sano,28,0,0,0,7,0,1.5,140,5,1,4,0
Navarro,Navarro,20383,2025/26,32,Athletic,Mediocampista,8.0,24,ES,30%,Sano,26,5,1,0,1,0,1.3,101,3.9,2,1,0
Ngongé,Ngonge,20385,2025/26,32,Espanyol,Delantero,6.0,25,BE,50%,Sano,8,0,2,0,4,0,1,29,3.6,2,-1,5
Nianzou,Nianzou,20387,2025/26,32,Sevilla,Defensa,5.0,23,FR,30%,Sano,12,0,0,0,5,1,0,25,2.1,0,0,-2
Nteka,Nteka,20388,2025/26,32,Rayo,Delantero,4.0,28,AO,0%,Lesionado/Duda,10,1,0,0,1,0,1.1,22,2.2,0,0,8
Nyland,Nyland,20387,2025/26,32,Sevilla,Portero,6.0,35,NO,5%,Sano,4,0,0,0,1,0,-1,16,4,0,0,0
Nyom,Nyom,20386,2025/26,32,Getafe,Defensa,3.0,37,CM,20%,Sano,12,0,0,0,6,1,1,7,0.6,0,0,0
Núñez,Núñez,20391,2025/26,32,Valencia,Defensa,8.0,29,ES,60%,Sano,8,0,0,0,2,0,1,36,4.5,0,0,1
Oblak,Oblak,20383,2025/26,32,Atlético,Portero,22.0,33,SI,99%,Sano,27,0,0,0,0,0,0.5,183,6.8,5,0,0
Odriozola,Odriozola,20388,2025/26,32,Real Sociedad,Defensa,6.0,30,ES,0%,Lesionado/Duda,5,1,0,0,0,0,-1,22,4.4,0,0,0
Olasagasti,Olasagasti,20385,2025/26,32,Levante,Mediocampista,8.0,25,ES,70%,Sano,27,1,3,0,3,1,1.4,83,3.1,11,7,1
Olmo,Dani Olmo,20386,2025/26,32,Barcelona,Mediocampista,24.0,27,ES,50%,Sano,27,7,7,0,0,0,1.7,195,7.2,4,2,9
Oluwaseyi,Oluwaseyi,20392,2025/26,32,Villarreal,Delantero,7.0,25,CA,30%,Sano,25,2,2,0,1,0,1.2,75,3,4,10,0
Oriol Rey,O. Rey,20385,2025/26,32,Levante,Mediocampista,8.0,28,ES,30%,Sano,18,0,0,0,4,0,1,51,2.8,-1,0,2
Oroz,Aimar,20387,2025/26,32,Osasuna,Mediocampista,10.0,24,ES,80%,Sano,25,0,2,0,6,0,1.3,107,4.3,3,4,3
Ortiz,Á. Ortiz,20389,2025/26,32,Betis,Defensa,5.0,21,ES,0%,Lesionado/Duda,13,0,0,0,1,0,-1,29,2.2,0,0,0
Osambela,A. Osambela,20387,2025/26,32,Osasuna,Mediocampista,4.0,21,ES,0%,Sano,13,1,0,0,1,1,-1,31,2.4,0,0,-3
Oso,Oso,20387,2025/26,32,Sevilla,Defensa,8.0,22,ES,50%,Sano,15,1,3,0,1,0,1,53,3.5,0,2,1
Ounahi,Ounahi,20391,2025/26,32,Girona,Mediocampista,25.0,26,MA,90%,Sano,18,5,2,0,7,0,1.5,137,7.6,8,4,10
Oyarzabal,Oyarzabal,20388,2025/26,32,Real Sociedad,Delantero,21.0,29,ES,90%,Sano,28,12,3,0,2,0,1.4,186,6.6,2,0,8
P. Gueye,Gueye,20392,2025/26,32,Villarreal,Mediocampista,17.0,27,SN,50%,Sano,26,4,2,0,7,0,1.7,153,5.9,4,7,9
Pablo García,Pablo García,20389,2025/26,32,Betis,Delantero,5.0,19,ES,0%,Sano,15,0,0,0,1,0,1.5,33,2.2,0,0,2
