Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,29,20356,Mallorca,Elche,0,Raíllo,Raíllo,Antonio Raíllo,Defensa,34,ES,10.0,80%,Sano,1.6,22.0,87,4.0,8,3,6,0.0,1.0,0.0,3.0,0.0,90,7.2,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,1,1
2025/26,29,20356,Mallorca,Elche,0,Lato,Toni Lato,Toni Lato,Defensa,28,ES,4.0,90%,Sano,-1.0,8.0,16,2.0,0,0,0,0.0,1.0,0.0,2.0,0.0,90,6.1,0,0,1,0,0,2,4,15,5,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20356,Mallorca,Elche,0,Valjent,Valjent,Martin Valjent,Defensa,30,SK,10.0,90%,Sano,1.2,28.0,100,3.6,6,1,3,0.0,0.0,0.0,4.0,0.0,90,6.8,0,0,0,0,0,0,2,8,10,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20356,Mallorca,Elche,0,Mascarell,Mascarell,Omar Mascarell,Mediocampista,33,GQ,10.0,80%,Sano,1.6,21.0,88,4.2,12,6,3,1.0,2.0,0.0,4.0,0.0,90,6.0,0,0,0,0,0,0,6,7,2,0,0,0,0,0,0,0,0,0,4,2
2025/26,29,20356,Mallorca,Elche,0,Antonio,Antonio Sánchez,Antonio Sánchez,Mediocampista,28,ES,6.0,40%,Sano,1.0,23.0,46,2.0,2,0,0,0.0,0.0,0.0,4.0,1.0,88,6.2,0,0,1,0,0,2,6,13,1,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20356,Mallorca,Elche,0,Samú,Samu Costa,Samú Costa,Mediocampista,25,PT,10.0,90%,Sano,1.9,25.0,105,4.2,10,2,3,5.0,0.0,0.0,9.0,0.0,90,6.6,0,0,0,1,0,0,7,12,1,0,0,0,0,0,0,0,0,0,3,2
2025/26,29,20356,Mallorca,Elche,0,Pablo Torre,Pablo Torre,Pablo Torre,Mediocampista,22,ES,7.0,70%,Sano,2.1,25.0,73,2.9,11,1,0,2.0,2.0,0.0,3.0,0.0,65,7.7,1,0,0,1,0,0,2,13,1,0,0,0,0,0,0,0,0,0,9,3
2025/26,29,20356,Mallorca,Elche,0,Muriqi,Muriqi,Vedat Muriqi,Delantero,31,XK,21.0,95%,Sano,1.7,27.0,177,6.6,5,13,2,18.0,1.0,0.0,3.0,1.0,90,5.6,0,0,0,0,0,0,4,13,0,0,0,0,0,0,1,0,0,0,-2,0
2025/26,29,20356,Mallorca,Elche,0,Luvumbo,Luvumbo,Zito Luvumbo,Delantero,24,AO,4.0,40%,Sano,0.9,3.0,6,2.0,2,0,2,0.0,0.0,0.0,1.0,0.0,65,6.8,0,1,3,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,9,4
2025/26,29,20356,Mallorca,Elche,0,Joseph,Mateo Joseph,Mateo Joseph,Delantero,22,ES,10.0,70%,Sano,1.5,27.0,103,3.8,7,5,4,2.0,2.0,0.0,2.0,0.0,90,6.0,0,0,1,0,0,0,3,23,1,0,0,0,0,0,0,0,0,0,3,2
