Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Dituro,M. Dituro,20324,2025/26,26,Elche,Portero,10.0,38,AR,60%,Sano,9,0,0,0,1,0,1.9,62,6.9,5,10,0
Djené,Djene,20330,2025/26,26,Getafe,Defensa,10.0,34,TG,0%,Sano,24,0,0,0,6,1,0.7,95,4,-2,4,8
Dmitrovic,Dmitrovic,20324,2025/26,26,Espanyol,Portero,15.0,34,RS,95%,Sano,25,0,0,0,0,0,1,137,5.5,1,3,-3
Dolan,Dolan,20324,2025/26,26,Espanyol,Delantero,10.0,24,EN,70%,Sano,24,1,3,0,4,1,1.3,101,4.2,2,8,1
Domínguez,C. Dominguez,20325,2025/26,26,Celta,Defensa,6.0,25,ES,20%,Sano,6,0,0,0,1,0,-1,21,3.5,0,0,0
Duro,Hugo Duro,20332,2025/26,26,Valencia,Delantero,10.0,26,ES,30%,Sano,24,7,0,0,5,0,0.8,90,3.8,1,3,1
Durán,Pablo Durán,20325,2025/26,26,Celta,Delantero,8.0,24,ES,0%,Lesionado/Duda,20,2,2,0,0,0,1.2,73,3.7,2,8,0
Echeverri,Echeverri,20325,2025/26,26,Girona,Mediocampista,5.0,20,AR,40%,Sano,5,0,0,0,2,0,1.6,15,3,2,6,0
Edu Expósito,Edu Expósito,20324,2025/26,26,Espanyol,Mediocampista,18.0,29,ES,70%,Sano,24,1,5,0,4,0,1.3,144,6,9,2,-3
Egiluz,Egiluz,20328,2025/26,26,Athletic,Defensa,0.4,23,ES,0%,Lesionado/Duda,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,0,0,0,0
Ejaria,Ejaria,20331,2025/26,26,Real Oviedo,Delantero,4.0,28,EN,0%,Lesionado/Duda,7,0,0,0,1,0,-1,15,2.1,0,0,0
Ejuke,Ejuke,20329,2025/26,26,Sevilla,Delantero,7.0,28,NG,20%,Sano,18,1,1,0,0,0,1.3,73,4.1,4,2,6
El Hilali,El Hilali,20324,2025/26,26,Espanyol,Defensa,9.0,22,MA,80%,Sano,23,0,2,0,5,0,1.2,66,2.9,-4,1,-2
El-Abdellaoui,El-Abdellaoui,20325,2025/26,26,Celta,Delantero,6.0,20,MA,50%,Sano,15,2,0,0,0,0,1.3,45,3,2,0,3
Elgezabal,Elgezabal,20326,2025/26,26,Levante,Defensa,8.0,32,ES,0%,Lesionado/Duda,12,1,0,0,2,0,-1,33,2.8,0,0,0
Eric García,Eric,20323,2025/26,26,Barcelona,Defensa,16.0,25,ES,80%,Sano,25,1,2,0,3,0,2,141,5.6,15,3,9
Espino,Pacha,20328,2025/26,26,Rayo,Defensa,7.0,34,UY,50%,Sano,18,1,0,0,2,0,1.4,48,2.7,4,7,0
Etta Eyong,Etta Eyong,20326,2025/26,26,Levante,Delantero,11.0,22,CM,50%,Sano,20,5,1,0,2,0,0.7,106,4.6,1,2,2
F. de Jong,F. De Jong,20323,2025/26,26,Barcelona,Mediocampista,19.0,28,NL,0%,Lesionado/Duda,19,1,4,0,6,1,1.6,119,6.3,15,2,0
Febas,Febas,20324,2025/26,26,Elche,Mediocampista,14.0,30,ES,95%,Sano,24,2,1,0,7,0,1.8,126,5.3,2,9,0
Femenia,Kiko F.,20330,2025/26,26,Getafe,Defensa,10.0,35,ES,80%,Sano,20,0,1,0,2,0,1.2,83,4.2,5,3,7
Fer López,Fer López,20325,2025/26,26,Celta,Mediocampista,9.0,21,ES,70%,Sano,4,0,0,0,0,0,1.3,19,4.8,6,5,2
