ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20320,2025/26,25,Visitante,Valentín,Desconocido,31,ES,70%,Sano,20,1,0,0,2,1,1.4,85,4.3,13,0,2
20320,2025/26,25,Visitante,Mendy,Desconocido,21,SN,80%,Sano,14,2,0,0,3,1,1.6,77,5.5,18,2,0
20320,2025/26,25,Visitante,De Frutos,Desconocido,29,ES,90%,Sano,21,7,1,0,2,0,1.4,123,5.9,3,9,3
20320,2025/26,25,Visitante,Fran Pérez,Desconocido,23,ES,50%,Sano,19,2,0,0,2,0,2,74,3.9,13,0,0
20320,2025/26,25,Visitante,Lejeune,Desconocido,34,FR,95%,Sano,23,0,0,0,3,0,1.7,133,5.8,12,4,5
20320,2025/26,25,Visitante,Pathé Ciss,Desconocido,31,SN,50%,Sano,16,1,0,0,4,2,1.1,66,4.1,0,1,10
20320,2025/26,25,Visitante,Pep Chavarría,Desconocido,27,ES,50%,Sano,22,1,2,0,6,1,0.9,97,4.4,0,-2,3
20320,2025/26,25,Visitante,Álvaro García,Desconocido,33,ES,50%,Sano,23,3,4,0,3,0,1.5,109,4.7,6,10,2
20320,2025/26,25,Visitante,Unai López,Desconocido,30,ES,25%,Sano,17,0,3,0,6,1,-1,85,5,2,0,0
20320,2025/26,25,Visitante,Pedro Díaz,Desconocido,27,ES,25%,Sano,20,0,0,0,1,0,1.2,50,2.5,2,3,2
20320,2025/26,25,Visitante,Luiz Felipe,Desconocido,28,IT,20%,Sano,8,0,0,0,1,0,-1,19,2.4,0,2,0
20320,2025/26,25,Visitante,Carlos Martín,Desconocido,23,ES,10%,Sano,4,0,0,0,1,0,1,8,2,0,1,1
20320,2025/26,25,Visitante,Trejo,Desconocido,37,AR,10%,Sano,5,0,0,0,2,0,-1,7,1.4,0,0,0
20320,2025/26,25,Visitante,Balliu,Desconocido,34,AL,10%,Sano,9,0,0,0,2,0,-1,10,1.1,0,0,0
20320,2025/26,25,Visitante,Camello,Desconocido,25,ES,10%,Sano,13,0,0,0,2,1,1,23,1.8,0,0,1
20320,2025/26,25,Visitante,Alemão,Desconocido,27,BR,10%,Sano,13,1,0,0,1,0,1,32,2.5,0,0,1
20320,2025/26,25,Visitante,Vertrouwd,Desconocido,21,NL,5%,Sano,7,0,0,0,0,0,0.6,6,0.9,2,0,-3
20320,2025/26,25,Visitante,Cárdenas,Desconocido,28,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20320,2025/26,25,Visitante,Nteka,Desconocido,28,AO,0%,Sano,7,0,0,0,0,0,1,13,1.9,1,0,0
20320,2025/26,25,Visitante,Mumin,Desconocido,27,GH,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20319,2025/26,25,Local,Rubén G.,Desconocido,32,ES,70%,Lesionado/Duda,22,2,5,0,4,0,1.3,121,5.5,4,1,9
20319,2025/26,25,Local,Moncayola,Desconocido,27,ES,70%,Sano,22,0,4,0,5,0,1.4,110,5,2,0,10
20319,2025/26,25,Local,Rosier,Desconocido,29,FR,90%,Sano,17,0,1,0,4,1,1.4,69,4.1,7,3,1
20319,2025/26,25,Local,Víctor Muñoz,Desconocido,22,ES,60%,Lesionado/Duda,24,4,1,0,2,0,1.4,122,5.1,2,3,10
20319,2025/26,25,Local,Galán,Desconocido,31,ES,90%,Sano,7,0,1,0,1,0,1,59,4.9,10,2,4
20319,2025/26,25,Local,Torró,Desconocido,31,ES,60%,Sano,22,0,1,0,6,0,1,74,3.4,5,0,6
20319,2025/26,25,Local,Budimir,Desconocido,34,HR,95%,Sano,23,11,0,0,1,0,1.6,132,5.7,4,10,7
20319,2025/26,25,Local,Catena,Desconocido,31,ES,95%,Sano,22,2,2,0,8,1,1.5,129,5.9,7,9,2
20319,2025/26,25,Local,Herrera,Portero,32,ES,95%,Sano,24,0,0,0,2,0,2.4,166,6.9,11,6,2
20319,2025/26,25,Local,Herrando,Desconocido,24,ES,95%,Sano,20,0,1,0,2,0,1,63,3.2,8,1,2
20319,2025/26,25,Local,Oroz,Desconocido,24,ES,70%,Sano,18,0,2,0,4,0,1.2,82,4.6,9,3,3
20319,2025/26,25,Local,Raul Moro,Desconocido,23,ES,50%,Sano,3,0,1,0,0,0,1.3,16,5.3,2,10,4
20319,2025/26,25,Local,Iker Muñoz,Desconocido,23,ES,40%,Sano,10,0,0,0,3,0,1.2,30,3,5,5,0
20319,2025/26,25,Local,Moi Gómez,Desconocido,31,ES,30%,Sano,17,0,0,0,1,0,-1,62,3.6,0,2,0
20319,2025/26,25,Local,Osambela,Desconocido,21,ES,30%,Sano,10,1,0,0,1,0,1,27,2.7,0,3,0
20319,2025/26,25,Local,Bretones,Desconocido,25,ES,20%,Sano,20,1,0,0,5,1,1,64,3.2,2,1,2
20319,2025/26,25,Local,Juan Cruz,Desconocido,33,ES,20%,Sano,12,0,0,0,0,0,-1,35,2.9,0,0,0
20319,2025/26,25,Local,Kike Barja,Desconocido,28,ES,10%,Sano,15,0,0,0,2,0,-1,22,1.5,0,0,0
20319,2025/26,25,Local,Raúl García,Desconocido,25,ES,5%,Sano,23,4,0,0,1,0,1.3,74,3.2,2,8,2
20319,2025/26,25,Local,Aitor,Desconocido,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
20319,2025/26,25,Local,Boyomo,Desconocido,24,CM,0%,Lesionado/Duda,20,1,1,0,4,0,1.2,87,4.4,0,2,4
20319,2025/26,25,Local,Benito,Desconocido,23,ES,0%,Lesionado/Duda,5,1,0,0,1,0,-1,19,3.8,0,0,0
20319,2025/26,25,Visitante,Alexander-Arnold,Desconocido,27,EN,70%,Sano,10,0,2,0,0,0,2.2,45,4.5,11,2,0
20319,2025/26,25,Visitante,Mbappé,Desconocido,27,FR,60%,Sano,22,23,4,0,3,0,1.6,276,12.5,0,11,10
20319,2025/26,25,Visitante,A. F. Carreras,Desconocido,22,ES,70%,Sano,21,2,2,0,4,1,1.9,149,7.1,9,16,0
20319,2025/26,25,Visitante,Courtois,Portero,33,BE,95%,Sano,24,0,0,0,0,0,1.7,169,7,6,6,6
20319,2025/26,25,Visitante,Valverde,Desconocido,27,UY,60%,Sano,23,1,6,0,2,0,1.7,163,7.1,13,8,8
20319,2025/26,25,Visitante,Asencio,Desconocido,23,ES,50%,Sano,17,2,0,0,2,0,1.6,89,5.2,0,8,2
20319,2025/26,25,Visitante,Tchouaméni,Desconocido,26,FR,50%,Sano,21,0,0,0,5,0,1.6,113,5.4,4,9,5
20319,2025/26,25,Visitante,Güler,Desconocido,20,TR,60%,Sano,24,3,7,0,1,0,1.4,179,7.5,5,6,7
20319,2025/26,25,Visitante,Vinicius,Desconocido,25,BR,70%,Sano,23,8,5,0,5,0,2.6,178,7.7,18,0,7
