ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Precio_Fantastica,Puntos_PFSY
20315,2025/26,25,Barcelona,Bernal,Desconocido,18,ES,20%,Sano,11.0,1.0,1.0,0.0,2.0,0.0,1.8,31,2.8,2.0,10,2.0,5.0,31.0
20315,2025/26,25,Barcelona,Bardghji,Desconocido,20,SE,15%,Sano,13.0,1.0,1.0,0.0,0.0,0.0,1.0,43,3.3,2.0,2,0.0,6.0,43.0
20315,2025/26,25,Barcelona,Rashford,Desconocido,28,EN,10%,Lesionado/Duda,21.0,4.0,6.0,0.0,2.0,0.0,2.6,121,5.8,0.0,4,8.0,14.0,121.0
20315,2025/26,25,Barcelona,Szczesny,Desconocido,35,PL,5%,Sano,6.0,0.0,0.0,1.0,0.0,0.0,-1.0,32,5.3,0.0,0,0.0,9.0,32.0
20315,2025/26,25,Barcelona,Pedri,Desconocido,23,ES,0%,Lesionado/Duda,16.0,2.0,5.0,0.0,2.0,1.0,-1.0,124,7.8,0.0,0,0.0,23.0,124.0
20315,2025/26,25,Barcelona,Gavi,Desconocido,21,ES,0%,Lesionado/Duda,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,8,4.0,0.0,0,0.0,5.0,8.0
20315,2025/26,25,Barcelona,A. Christensen,Desconocido,29,DK,0%,Lesionado/Duda,12.0,0.0,0.0,0.0,1.0,0.0,-1.0,29,2.4,0.0,0,0.0,5.0,29.0
20320,2025/26,25,Betis,Bakambu,Desconocido,34,CD,70%,Sano,10.0,2.0,0.0,0.0,0.0,0.0,1.6,32,3.2,9.0,5,0.0,6.0,32.0
20320,2025/26,25,Betis,Natan,Desconocido,25,BR,80%,Sano,22.0,0.0,0.0,0.0,5.0,0.0,2.0,126,5.7,6.0,8,0.0,16.0,126.0
20320,2025/26,25,Betis,Fidalgo,Desconocido,28,ES,70%,Sano,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9,4.5,4.0,5,0.0,,
20320,2025/26,25,Betis,Antony,Desconocido,25,BR,80%,Sano,19.0,6.0,5.0,0.0,1.0,1.0,1.7,147,7.7,12.0,10,6.0,25.0,147.0
20320,2025/26,25,Betis,D. Llorente,Desconocido,32,ES,70%,Sano,7.0,1.0,0.0,0.0,1.0,0.0,1.5,36,5.1,2.0,11,4.0,7.0,36.0
20320,2025/26,25,Betis,Fornals,Desconocido,29,ES,90%,Sano,24.0,6.0,4.0,0.0,1.0,0.0,1.8,183,7.6,9.0,6,9.0,25.0,183.0
20320,2025/26,25,Betis,Marc Roca,Desconocido,29,ES,90%,Sano,19.0,0.0,1.0,0.0,1.0,0.0,2.1,86,4.5,6.0,7,4.0,11.0,86.0
20320,2025/26,25,Betis,Abde,Desconocido,24,MA,90%,Sano,15.0,5.0,4.0,0.0,2.0,0.0,2.0,119,7.9,10.0,10,5.0,22.0,119.0
20320,2025/26,25,Betis,Valles,Portero,28,ES,70%,Sano,16.0,0.0,0.0,1.0,1.0,0.0,1.6,113,7.1,4.0,12,13.0,22.0,113.0
20320,2025/26,25,Betis,Ruibal,Desconocido,29,ES,80%,Sano,19.0,4.0,1.0,0.0,3.0,0.0,1.2,95,5.0,4.0,5,4.0,11.0,95.0
20320,2025/26,25,Betis,Rodríguez,Desconocido,33,CH,70%,Sano,16.0,0.0,1.0,0.0,0.0,0.0,1.3,67,4.2,3.0,8,3.0,10.0,67.0
20320,2025/26,25,Betis,Bartra,Desconocido,35,ES,40%,Sano,20.0,1.0,0.0,0.0,3.0,0.0,1.2,114,5.7,3.0,2,5.0,16.0,114.0
20320,2025/26,25,Betis,Pau López,Desconocido,31,ES,30%,Sano,8.0,0.0,0.0,1.0,1.0,0.0,-1.0,56,7.0,0.0,0,0.0,11.0,56.0
20320,2025/26,25,Betis,Valentín Gómez,Desconocido,22,AR,30%,Sano,17.0,1.0,0.0,0.0,4.0,0.0,-1.0,67,3.9,0.0,0,2.0,10.0,67.0
20320,2025/26,25,Betis,Deossa,Desconocido,26,CO,30%,Sano,14.0,0.0,0.0,0.0,2.0,0.0,1.8,42,3.0,2.0,3,3.0,6.0,42.0
20320,2025/26,25,Betis,Cucho,Desconocido,26,CO,20%,Lesionado/Duda,19.0,8.0,3.0,0.0,2.0,0.0,-1.0,127,6.7,0.0,0,0.0,21.0,127.0
20320,2025/26,25,Betis,Ortiz,Desconocido,21,ES,20%,Sano,10.0,0.0,0.0,0.0,1.0,0.0,1.0,25,2.5,2.0,0,2.0,5.0,25.0
20320,2025/26,25,Betis,Riquelme,Desconocido,25,ES,20%,Sano,17.0,0.0,1.0,0.0,1.0,0.0,1.0,45,2.6,0.0,2,0.0,6.0,45.0
20320,2025/26,25,Betis,Altimira,Desconocido,24,ES,20%,Sano,16.0,1.0,1.0,0.0,2.0,0.0,1.0,60,3.8,2.0,2,2.0,8.0,60.0
20320,2025/26,25,Betis,Chimy,Desconocido,32,AR,10%,Lesionado/Duda,10.0,1.0,0.0,0.0,4.0,0.0,1.5,22,2.2,0.0,0,9.0,4.0,22.0
20320,2025/26,25,Betis,Pablo García,Desconocido,19,ES,10%,Sano,14.0,0.0,0.0,0.0,1.0,0.0,1.0,31,2.2,0.0,0,2.0,5.0,31.0
20320,2025/26,25,Betis,Junior,Desconocido,29,DO,10%,Sano,8.0,0.0,1.0,0.0,2.0,0.0,-1.0,29,3.6,0.0,0,0.0,7.0,29.0
20320,2025/26,25,Betis,Bellerín,Desconocido,30,ES,0%,Lesionado/Duda,16.0,0.0,2.0,0.0,1.0,0.0,-1.0,68,4.3,0.0,0,0.0,10.0,68.0
20320,2025/26,25,Betis,Adrián,Desconocido,39,ES,0%,Sano,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0.0,0.0,0,0.0,1.0,0.0
20320,2025/26,25,Betis,Isco,Desconocido,33,ES,0%,Lesionado/Duda,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,10,10.0,0.0,0,0.0,11.0,10.0
20320,2025/26,25,Betis,Lo Celso,Desconocido,29,AR,0%,Lesionado/Duda,17.0,2.0,2.0,0.0,3.0,0.0,-1.0,93,5.5,0.0,0,0.0,10.0,93.0
20320,2025/26,25,Betis,S. Amrabat,Desconocido,29,MA,0%,Lesionado/Duda,8.0,0.0,0.0,0.0,3.0,0.0,-1.0,32,4.0,0.0,0,0.0,8.0,32.0
20316,2025/26,25,Celta,Manu Fernández,Desconocido,24,ES,70%,Sano,12.0,0.0,0.0,0.0,2.0,0.0,-1.0,41,3.4,0.0,0,0.0,7.0,41.0
20316,2025/26,25,Celta,Radu,Portero,28,RO,95%,Sano,24.0,0.0,0.0,2.0,0.0,0.0,1.2,166,6.9,3.0,1,10.0,22.0,166.0
20316,2025/26,25,Celta,Vecino,Desconocido,34,UY,70%,Sano,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2.0,2.0,0,0.0,,
20316,2025/26,25,Celta,Durán,Desconocido,24,ES,70%,Sano,19.0,2.0,2.0,0.0,0.0,0.0,1.3,71,3.7,8.0,0,2.0,9.0,71.0
20316,2025/26,25,Celta,El-Abdellaoui,Desconocido,20,MA,50%,Sano,14.0,2.0,0.0,0.0,0.0,0.0,1.0,43,3.1,0.0,3,3.0,6.0,43.0
20316,2025/26,25,Celta,Jutglà,Desconocido,27,ES,60%,Sano,16.0,3.0,1.0,0.0,3.0,0.0,1.6,61,3.8,8.0,2,0.0,8.0,61.0
20316,2025/26,25,Celta,Fer López,Desconocido,21,ES,70%,Sano,3.0,0.0,0.0,0.0,0.0,0.0,1.5,13,4.3,5.0,2,6.0,,
20316,2025/26,25,Celta,Hugo Álvarez,Desconocido,22,ES,50%,Sano,15.0,2.0,1.0,0.0,2.0,0.0,1.8,54,3.6,0.0,3,2.0,7.0,54.0
20316,2025/26,25,Celta,Rueda,Desconocido,23,ES,70%,Sano,17.0,2.0,4.0,0.0,4.0,0.0,1.2,97,5.7,8.0,1,2.0,10.0,97.0
20316,2025/26,25,Celta,M. Alonso,Desconocido,35,ES,50%,Sano,21.0,1.0,0.0,0.0,2.0,0.0,1.7,135,6.4,7.0,4,10.0,19.0,135.0
20316,2025/26,25,Celta,Starfelt,Desconocido,30,SE,50%,Sano,17.0,0.0,0.0,0.0,3.0,1.0,1.2,95,5.6,4.0,2,8.0,15.0,95.0
20316,2025/26,25,Celta,Román,Desconocido,23,ES,40%,Sano,16.0,1.0,0.0,0.0,3.0,0.0,1.7,78,4.9,5.0,8,7.0,10.0,78.0
20316,2025/26,25,Celta,Carreira,Desconocido,25,ES,40%,Sano,21.0,2.0,1.0,0.0,2.0,0.0,1.4,95,4.5,2.0,1,3.0,11.0,95.0
20316,2025/26,25,Celta,Iglesias,Desconocido,33,ES,40%,Sano,22.0,10.0,2.0,0.0,4.0,0.0,1.8,126,5.7,9.0,9,3.0,16.0,126.0
20316,2025/26,25,Celta,Ristic,Desconocido,30,RS,30%,Sano,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,13,3.3,0.0,0,0.0,5.0,13.0
20316,2025/26,25,Celta,Aspas,Desconocido,38,ES,30%,Sano,21.0,2.0,3.0,0.0,3.0,0.0,1.2,92,4.4,1.0,5,2.0,9.0,92.0
20316,2025/26,25,Celta,Lago,Desconocido,21,ES,30%,Sano,4.0,0.0,0.0,0.0,2.0,0.0,-1.0,10,2.5,0.0,0,0.0,5.0,10.0
20316,2025/26,25,Celta,Swedberg,Desconocido,22,SE,30%,Sano,17.0,3.0,0.0,0.0,1.0,0.0,1.4,63,3.7,2.0,4,6.0,8.0,63.0
