Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T25-26,J6,Levante UD,Mathew Ryan,Mathew Ryan,2,10,-8
T24-25,J20,Mallorca,Dominik Greif,Dominik Greif,2,10,-8
T24-25,J8,Barcelona,Jules Koundé,Jules Koundé,-2,6,-8
T24-25,J20,Mallorca,Antonio Raíllo,Antonio Raíllo,-1,7,-8
T24-25,J21,Real Betis,Angel Ortiz,Angel Ortiz,0,8,-8
T24-25,J20,Las Palmas,Jasper Cillessen,Jasper Cillessen,3,11,-8
T25-26,J5,Girona FC,Paulo Gazzaniga,Paulo Gazzaniga,-2,6,-8
T25-26,J5,Girona FC,Daley Blind,Daley Blind,-1,7,-8
T25-26,J20,Athletic Club,Jesús Areso,Jesús Areso,0,8,-8
T23-24,J14,Sevilla,Adrià Pedrosa,Adrià Pedrosa,1,9,-8
T24-25,J8,Barcelona,Pau Cubarsí,Pau Cubarsí,-3,5,-8
T23-24,J27,Granada,Augusto Batalla,Augusto Batalla,-1,7,-8
T23-24,J27,Granada,Ignasi Miquel,Ignasi Miquel,0,8,-8
T23-24,J27,Granada,Ricard Sánchez,Ricard Sánchez,-5,3,-8
T23-24,J27,Granada,Kamil Piątkowski,Kamil Piątkowski,-3,5,-8
T24-25,J11,Celta Vigo,Óscar Mingueza,Óscar Mingueza,-2,6,-8
T24-25,J21,Valencia,César Tárrega,César Tárrega,-4,4,-8
T24-25,J21,Valencia,Yarek Gasiorowski,Yarek Gasiorowski,-1,7,-8
T24-25,J9,Real Valladolid,Luis Pérez,Luis Pérez,1,9,-8
T25-26,J14,Mallorca,Antonio Raíllo,Antonio Raíllo,1,9,-8
T25-26,J13,Elche,Víctor Chust,Víctor Chust,-2,6,-8
T25-26,J4,Valencia,José Copete,José Copete,-2,6,-8
T25-26,J18,Real Betis,Álvaro Valles,Álvaro Valles,1,9,-8
T23-24,J15,Rayo Vallecano,Stole Dimitrievski,Stole Dimitrievski,-2,6,-8
T23-24,J4,Osasuna,Jorge Herrando,Jorge Herrando,0,8,-8
T25-26,J13,Osasuna,Alejandro Catena,Alejandro Catena,7,15,-8
T24-25,J21,Valencia,José Luis Gayà,José Luis Gayà,-2,6,-8
T24-25,J22,Real Valladolid,Javi Sánchez,Javi Sánchez,-2,6,-8
T24-25,J22,Real Valladolid,Lucas Rosa,Lucas Rosa,-3,5,-8
T25-26,J18,Real Betis,Natan,Natan,-2,6,-8
T25-26,J3,Real Madrid,Kylian Mbappé,Kylian Mbappé,1,9,-8
T24-25,J22,Real Valladolid,Karl Hein,Karl Hein,0,8,-8
T25-26,J3,Girona FC,Thomas Lemar,Thomas Lemar,1,9,-8
T24-25,J14,Real Betis,Youssouf Sabaly,Youssouf Sabaly,-2,6,-8
T24-25,J23,Real Betis,Isco,Isco,2,10,-8
T25-26,J2,Girona FC,Vladyslav Krapyvtsov,Vladyslav Krapyvtsov,0,8,-8
T25-26,J2,Girona FC,Daley Blind,Daley Blind,-2,6,-8
T25-26,J2,Girona FC,Ladislav Krejčí,Ladislav Krejčí,-3,5,-8
T23-24,J6,Getafe,Damián Suárez,Damián Suárez,-2,6,-8
T25-26,J2,Real Madrid,Arda Güler,Arda Güler,6,14,-8
T23-24,J37,Atlético Madrid,Jan Oblak,Jan Oblak,0,8,-8
T23-24,J7,Las Palmas,Julián Araujo,Julián Araujo,2,10,-8
T23-24,J16,Sevilla,Ivan Rakitić,Ivan Rakitić,5,13,-8
T23-24,J26,Getafe,Omar Alderete,Omar Alderete,-3,5,-8
T24-25,J35,Real Sociedad,Jon Martin,Jon Martin,1,9,-8
T23-24,J16,Athletic Club,Iñaki Williams,Iñaki Williams,3,11,-8
T23-24,J16,Barcelona,Iñaki Peña,Iñaki Peña,-1,7,-8
T24-25,J24,Leganés,Dani Raba,Dani Raba,9,17,-8
T24-25,J23,Sevilla,Ørjan Nyland,Ørjan Nyland,-1,7,-8
T25-26,J25,Elche,Pedro Bigas,Pedro Bigas,-3,5,-8
T24-25,J5,Athletic Club,Iñaki Williams,Iñaki Williams,7,15,-8
T23-24,J16,Barcelona,Ronald Araújo,Ronald Araújo,-4,4,-8
T25-26,J13,Athletic Club,Unai Simón,Unai Simón,-2,6,-8
T24-25,J24,Real Valladolid,Karl Hein,Karl Hein,0,8,-8
T23-24,J26,Getafe,David Soria,David Soria,-1,7,-8
T25-26,J21,Real Oviedo,David Costas,David Costas,-1,7,-8
T23-24,J17,Sevilla,Marko Dmitrović,Marko Dmitrović,3,11,-8
T25-26,J22,Sevilla,Odysseas Vlachodimos,Odysseas Vlachodimos,-1,7,-8
T23-24,J17,Sevilla,Adrià Pedrosa,Adrià Pedrosa,0,8,-8
T24-25,J38,Sevilla,Adrià Pedrosa,Adrià Pedrosa,-2,6,-8
T25-26,J11,Valencia,José Luis Gayà,José Luis Gayà,-2,6,-8
T24-25,J6,Villarreal,Sergi Cardona,Sergi Cardona,-2,6,-8
T23-24,J32,Las Palmas,Álvaro Valles,Álvaro Valles,4,12,-8
T24-25,J25,Athletic Club,Nico Williams,Nico Williams,12,20,-8
T24-25,J38,Girona FC,Vladyslav Krapyvtsov,Vladyslav Krapyvtsov,4,12,-8
T23-24,J17,Villarreal,Filip Jørgensen,Filip Jørgensen,1,9,-8
T24-25,J25,Valencia,José Luis Gayà,José Luis Gayà,3,11,-8
T24-25,J6,Villarreal,Alejandro Baena,Alejandro Baena,-1,7,-8
T24-25,J25,Real Valladolid,Javi Sánchez,Javi Sánchez,-2,6,-8
T23-24,J10,Almería,Fernando Martínez,Fernando Martínez,0,8,-8
T23-24,J25,Las Palmas,Álvaro Valles,Álvaro Valles,-1,7,-8
T23-24,J25,Las Palmas,Mika Mármol,Mika Mármol,-1,7,-8
T24-25,J37,Celta Vigo,Óscar Mingueza,Óscar Mingueza,0,8,-8
T23-24,J3,Villarreal,Filip Jørgensen,Filip Jørgensen,3,11,-8
T23-24,J18,Barcelona,Raphinha,Raphinha,12,20,-8
T23-24,J38,Granada,Miguel Rubio,Miguel Rubio,-1,7,-8
T24-25,J37,Celta Vigo,Marcos Alonso,Marcos Alonso,7,15,-8
T24-25,J26,Real Betis,Isco,Isco,11,19,-8
